attr_type,morphed_token,lemma,better_method,,,,porter,snowball,stemming_is_different
methaneConcentrationNm,methane,methane,neither_method,7,7,7,methan,methan,both
methaneConcentrationNm,concentration,concentration,neither_method,13,13,13,concentr,concentr,both
methaneConcentrationNm,nm,nm,neither_method,2,2,2,nm,nm,neither
facsSortingAntibody,facs,facs,neither_method,4,4,4,fac,fac,both
facsSortingAntibody,sorting,sorting,neither_method,7,7,7,sort,sort,both
facsSortingAntibody,antibody,antibody,neither_method,8,8,8,antibodi,antibodi,both
antibodyLot,antibody,antibody,neither_method,8,8,8,antibodi,antibodi,both
antibodyLot,lot,lot,neither_method,3,3,3,lot,lot,neither
timeInLl,time,time,neither_method,4,4,4,time,time,neither
timeAfterTransferToNoPhosphateMedium,time,time,neither_method,4,4,4,time,time,neither
timeAfterTransferToNoPhosphateMedium,after,after,neither_method,5,5,5,after,after,neither
timeAfterTransferToNoPhosphateMedium,transfer,transfer,neither_method,8,8,8,transfer,transfer,neither
timeAfterTransferToNoPhosphateMedium,no,no,neither_method,2,2,2,no,no,neither
timeAfterTransferToNoPhosphateMedium,phosphate,phosphate,neither_method,9,9,9,phosphat,phosphat,both
timeAfterTransferToNoPhosphateMedium,medium,medium,neither_method,6,6,6,medium,medium,neither
larvalDiet,larval,larval,neither_method,6,6,6,larval,larval,neither
larvalDiet,diet,diet,neither_method,4,4,4,diet,diet,neither
timeInCaptivity,time,time,neither_method,4,4,4,time,time,neither
timeInCaptivity,captivity,captivity,neither_method,9,9,9,captiv,captiv,both
recallProcessedMeatsServe,recall,recall,neither_method,6,6,6,recal,recal,both
recallProcessedMeatsServe,process,processed,morphy_method,9,7,9,process,process,both
recallProcessedMeatsServe,meat,meat,both_methods,5,4,4,meat,meat,both
recallProcessedMeatsServe,serve,serve,neither_method,5,5,5,serv,serv,both
dnaEnrichment,dna,dna,neither_method,3,3,3,dna,dna,neither
dnaEnrichment,enrichment,enrichment,neither_method,10,10,10,enrich,enrich,both
profilePosition,profile,profile,neither_method,7,7,7,profil,profil,both
profilePosition,position,position,neither_method,8,8,8,posit,posit,both
saltedSnacksFrequency,salt,salted,morphy_method,6,4,6,salt,salt,both
saltedSnacksFrequency,snack,snack,both_methods,6,5,5,snack,snack,both
saltedSnacksFrequency,frequency,frequency,neither_method,9,9,9,frequenc,frequenc,both
newbornWeightG,newborn,newborn,neither_method,7,7,7,newborn,newborn,neither
newbornWeightG,weight,weight,neither_method,6,6,6,weight,weight,neither
newbornWeightG,g,g,neither_method,1,1,1,g,g,neither
clinicalCharacteristicDiseaseStatus,clinical,clinical,neither_method,8,8,8,clinic,clinic,both
clinicalCharacteristicDiseaseStatus,characteristic,characteristic,neither_method,14,14,14,characterist,characterist,both
clinicalCharacteristicDiseaseStatus,disease,disease,neither_method,7,7,7,diseas,diseas,both
clinicalCharacteristicDiseaseStatus,status,status,neither_method,6,6,6,statu,status,porter
cytokineTreatment,cytokine,cytokine,neither_method,8,8,8,cytokin,cytokin,both
cytokineTreatment,treatment,treatment,neither_method,9,9,9,treatment,treatment,neither
